340,300,64,0,
410,150,48,0,
520,350,56,0,
520,450,56,0,
390,200,48,0,
520,400,56,0,
110,200,48,0,
520,400,56,0,
440,200,48,0,
520,400,56,0,
320,300,32,0,
525,540,16,0,
380,780,32,1,
490,920,40,1,
275,1000,32,1,
580,1120,40,1,
140,1200,32,1,
430,1320,40,1,
120,1400,32,1,
510,1520,40,1,
160,1600,32,1,
560,1720,40,1,
244,1800,32,1,
495,1920,40,1,
215,2000,32,1,
365,2120,40,1,
410,2200,32,1,
430,2320,40,1,
153,2400,32,1,
530,2520,40,1,
260,2600,32,1,
425,2720,40,1,
395,2800,32,1,
495,2920,40,1,
395,3000,32,1,
535,3120,40,1,
120,3200,32,1,
